codmun,pharmacy,hospital,police,school,bank,embassy,tower,commercial,industrial,government,supermarket,park,primary,secondary,unpaved,paved
615,5,1,0,8,5,0,124,0,0,0,0,0,163,48,65,26
616,5,1,0,7,2,0,110,0,0,0,0,0,151,36,85,24
617,31,0,1,7,12,0,194,0,0,0,0,0,56,165,184,91
618,14,2,0,13,10,0,348,0,0,0,0,0,67,73,94,11
661,13,0,1,5,12,1,60,0,0,0,0,0,49,59,52,32
619,4,0,2,11,4,0,197,0,0,0,0,0,16,91,78,36
620,22,1,4,13,12,0,896,0,0,0,0,0,162,164,473,48
663,158,16,7,37,74,6,458,0,0,0,0,0,131,1027,218,484
662,25,4,3,10,14,0,113,0,0,0,0,0,60,129,148,24
664,36,1,2,28,30,0,42,0,0,0,0,0,126,28,190,21
811,18,3,1,9,22,0,352,0,0,0,0,0,153,194,132,38
812,7,1,0,6,7,0,212,0,0,0,0,0,42,91,10,7
862,48,0,0,0,37,2,218,0,0,0,0,0,55,259,260,70
861,33,0,2,8,39,0,224,0,3,0,0,0,130,348,114,259
801,4,0,1,1,3,0,508,0,0,0,0,0,27,141,142,39
802,15,4,2,11,13,0,546,0,0,0,0,0,142,162,71,35
809,8,0,1,1,13,0,677,0,0,0,0,0,84,279,287,20
803,12,0,3,10,9,0,375,0,0,0,0,0,104,88,121,64
804,11,0,2,6,15,0,254,0,0,0,0,0,0,261,87,5
805,4,0,4,6,3,0,267,0,0,0,0,0,80,125,99,153
806,7,0,0,2,11,0,231,0,0,0,0,0,52,133,142,38
807,13,1,2,2,7,0,190,0,0,0,0,0,130,130,109,122
808,12,1,3,6,14,0,228,0,3,0,0,0,42,82,100,98
810,14,1,0,6,24,0,410,0,0,0,0,0,70,127,212,96
1201,21,1,2,20,11,0,243,0,0,0,0,0,63,136,104,88
1203,37,3,3,18,38,0,723,0,0,0,0,0,145,326,349,429
1204,8,1,1,13,5,0,87,0,0,0,0,0,25,7,20,45
1205,13,0,0,23,9,0,298,0,0,0,0,0,103,195,77,140
1206,65,3,4,27,28,0,872,1,0,0,0,0,394,344,558,1143
1207,25,5,1,37,16,0,170,0,0,0,0,0,139,89,159,50
1208,14,2,2,5,6,0,71,0,0,0,0,0,55,35,17,30
1209,14,0,1,17,7,0,289,0,0,0,0,0,149,121,537,66
1210,32,0,6,28,8,0,851,0,0,0,0,0,305,217,189,107
1211,21,2,2,14,17,0,673,0,0,0,0,0,242,242,163,66
1212,16,4,3,16,10,0,431,0,0,0,0,0,144,183,181,190
1213,49,11,6,46,41,0,589,0,0,0,0,0,203,282,201,168
1214,3,0,1,2,3,0,51,0,0,0,0,0,18,101,64,13
1215,16,1,3,6,5,0,262,0,0,0,0,0,111,73,129,55
1216,28,5,5,27,12,0,1028,0,2,0,0,0,136,277,167,90
1217,18,0,1,9,10,0,230,0,0,0,0,0,84,109,70,57
1218,31,0,3,19,22,0,327,1,0,0,0,0,307,80,143,182
1263,44,4,4,37,41,0,281,0,0,0,0,0,91,60,11,82
1219,23,5,2,18,7,0,289,0,0,0,0,0,150,236,243,137
1261,225,11,14,118,195,12,897,1,0,0,0,0,1263,947,382,4016
1262,22,0,1,14,32,0,152,0,1,0,0,0,179,46,16,48
1202,15,2,1,15,5,0,160,0,0,0,0,0,170,78,53,17
1411,9,1,0,1,4,0,243,0,0,0,0,0,141,30,196,1
1463,55,20,3,18,35,0,182,0,0,0,0,0,407,376,19,151
1410,7,1,1,9,1,0,243,0,0,0,0,0,46,26,34,4
1438,24,2,3,19,6,0,196,0,0,0,0,0,204,83,466,44
1414,17,2,1,5,11,0,210,0,1,0,0,0,195,171,203,18
1461,5,1,1,3,5,0,82,0,0,0,0,0,75,58,77,15
1465,569,9,26,154,496,31,1026,2,1,0,0,0,663,4058,826,1327
1415,5,2,3,6,3,0,676,0,0,0,0,0,73,62,249,9
