codmun,pharmacy,hospital,police,school,bank,embassy,tower,commercial,industrial,government,supermarket,park,primary,secondary,unpaved,paved
92,3,38,11,164,89,0,2344,0,9,0,0,15,193,133,36,7
93,0,8,2,15,16,0,2620,0,12,0,0,0,96,89,10,1
94,1,1,4,1,6,0,648,0,7,0,0,2,67,11,3,0
95,1,2,4,5,15,0,443,0,0,0,0,1,49,30,1,1
96,0,1,0,3,0,0,1122,0,1,0,0,0,52,61,2,0
97,0,1,0,0,1,0,591,0,0,0,0,0,34,29,0,1
98,0,1,1,6,2,0,1160,0,1,0,0,2,67,113,3,0
99,0,1,0,3,0,0,2660,0,0,0,0,1,19,27,0,5
100,22,33,7,66,77,0,2682,0,0,0,0,7,222,449,6,60
101,1,3,2,5,2,0,1609,0,0,0,0,0,65,86,3,3
102,0,3,0,4,1,0,1455,0,0,0,0,1,136,64,0,18
103,13,28,4,18,45,0,2292,0,54,0,0,0,121,23,1,6
104,8,9,1,10,37,0,938,1,1,0,0,2,136,133,9,17
105,1,2,1,7,5,0,1153,0,0,0,0,3,55,40,3,2
106,1,1,0,3,0,0,1453,0,0,0,0,0,64,46,0,0
107,0,0,0,0,0,0,765,0,0,0,0,0,37,17,10,0
108,0,0,1,0,0,0,1199,0,0,0,0,1,9,46,3,0
109,0,0,0,3,0,0,871,0,0,0,0,0,6,18,8,1
110,16,49,15,72,111,0,609,1,0,0,0,16,62,168,3,34
111,0,1,0,0,0,0,776,0,0,0,0,0,10,20,0,0
112,1,3,2,2,8,0,2270,0,0,0,0,0,16,51,10,6
113,206,495,100,900,1513,40,1820,390,1,0,0,117,1043,1227,323,859
114,0,0,0,0,0,0,1858,0,0,0,0,0,7,3,30,17
115,1,6,2,5,11,0,919,0,0,0,0,0,26,49,2,3
116,0,3,3,4,27,0,851,0,0,0,0,0,54,57,0,8
117,0,1,1,1,5,0,276,0,0,0,0,0,9,62,5,8
118,11,6,0,0,4,0,850,0,0,0,0,0,42,35,0,5
119,1,2,3,6,14,0,405,0,0,0,0,1,15,20,0,3
120,0,0,0,0,0,0,523,0,0,0,0,0,23,44,0,5
121,0,12,1,12,1,0,690,0,0,0,0,0,85,75,11,0
122,0,2,0,0,2,0,434,0,0,0,0,0,36,23,3,4
123,0,0,1,0,0,0,1548,0,0,0,0,0,22,66,0,17
124,0,13,3,16,30,0,845,0,0,0,0,4,31,109,25,59
125,2,11,3,20,1,0,344,0,0,0,0,0,15,14,0,0
126,2,6,0,7,0,0,450,0,0,0,0,0,0,19,2,0
127,0,2,0,1,0,0,1386,0,0,0,0,0,12,98,188,91
128,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
129,0,0,0,0,0,0,671,0,0,0,0,0,41,39,277,80
