codmun,pharmacy,hospital,police,school,bank,embassy,tower,commercial,industrial,government,supermarket,park,primary,secondary,unpaved,paved
19037,0,0,0,0,0,0,466,0,0,0,0,0,1,4,15,0
19038,0,2,0,1,0,0,61,0,0,0,0,4,37,16,6,5
19039,40,20,4,28,70,2,117,3,0,0,0,2,374,261,5,148
19040,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0
19041,0,0,1,0,0,0,85,0,0,0,0,0,1,26,22,2
19042,0,0,0,0,0,0,226,0,0,0,0,0,1,14,5,0
19043,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
19044,5,3,7,12,4,0,0,0,0,0,0,2,18,19,8,0
19045,0,0,0,0,0,0,291,0,0,0,0,1,25,34,0,0
19046,37,6,0,8,37,0,22,0,0,0,0,2,59,168,0,7
19047,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0
19048,3,2,1,4,10,0,123,1,1,0,0,2,0,54,4,36
19049,1,1,0,0,2,0,0,0,0,0,0,1,2,19,7,175
19050,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0
19051,0,0,0,0,0,0,112,0,0,0,0,0,8,1,2,0
20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,0,0,0,0,0,0,358,0,0,0,0,0,0,7,86,0
20003,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
20004,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20005,0,1,0,1,0,0,372,0,0,0,0,0,17,11,5,0
20006,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,2
20007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20010,0,0,0,0,0,0,54,0,0,0,0,0,3,4,0,1
20011,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
20012,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
20013,0,0,0,0,0,0,19,0,0,0,0,0,0,4,0,0
20014,0,0,0,0,0,0,54,0,0,0,0,0,3,5,15,0
20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
20019,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0
20020,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
20021,0,0,0,0,0,0,89,0,0,0,0,0,0,1,0,0
20022,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
20023,0,0,0,0,0,0,5,0,0,0,0,0,0,5,7,0
20024,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
20025,0,0,0,2,0,0,0,0,0,0,0,0,1,0,30,0
20026,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
20027,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
20028,0,0,0,0,0,0,46,0,0,0,0,0,6,4,8,1
20029,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
20030,0,0,0,5,0,0,73,0,0,0,0,0,9,3,0,0
20031,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20033,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2
20034,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
20035,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20037,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
20038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20039,0,0,0,0,0,0,0,0,0,0,0,0,11,15,5,10
20040,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
20041,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
20042,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
20043,1,3,0,7,0,0,256,0,0,0,0,0,26,12,103,1
20044,0,0,0,1,0,0,134,0,0,0,0,0,3,1,5,1
20045,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20046,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
20047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20049,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20050,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20052,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
20053,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20054,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20055,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4
20056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20057,0,1,0,2,2,0,205,0,0,0,0,0,11,4,8,2
20058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20059,0,1,0,0,1,0,0,0,0,0,0,0,5,13,0,2
20060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20061,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20062,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
20063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20064,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,7
20065,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
20066,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
20067,35,7,0,24,24,1,71,0,0,0,0,1,58,70,41,20
20068,0,0,0,0,1,0,10,0,0,0,0,0,5,8,2,1
20069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20071,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
20072,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2
20073,0,0,0,2,0,0,0,0,0,0,0,1,14,1,0,0
20074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20076,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
20077,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
20078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20079,0,2,1,0,2,0,70,0,0,0,0,1,39,3,123,5
20080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
20082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20083,0,0,0,0,0,0,14,0,0,0,0,0,7,0,0,0
20084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
